page,image_path,caption
1,slides_rendered\slide_01.png,the alphabet q2e - eings
2,slides_rendered\slide_02.png,note about error - looking statements and non - financial meas
3,slides_rendered\slide_03.png,a table with the highest salariess for the highest salariess
4,slides_rendered\slide_04.png,the average revenue of the albet revenue
5,slides_rendered\slide_05.png,a bar chart showing the average cost of a home
6,slides_rendered\slide_06.png,google search results for google search results
7,slides_rendered\slide_07.png,google revenue revenue graph
8,slides_rendered\slide_08.png,a graph showing the average of the capital capital
9,slides_rendered\slide_09.png,the trading table for the trading platform
10,slides_rendered\slide_10.png,"a table with the text, ' reconciliation from aat ' s private property '"
